tod,username,block,trial,condition,start_point_x,end_point_x,start_time,end_time,elapsedTimeMillis,width,amplitude,optimal_path,fitts_distance,distance_travelled,practice,selection,errors,undershoots,overshoots,direction_changes
1565039697060,001,1,1,Simple,225.0,265.7273,1565039697057,1565039700031,974,50.0,50.0,25.0,50.0,47.0,true,DWELL,0,0,0,2
1565039701054,001,1,2,Simple,275.0,215.23337,1565039701054,1565039704988,1934,50.0,50.0,25.0,50.0,92.0,true,DWELL,1,0,1,1
1565039706004,001,1,3,Simple,225.0,273.8453,1565039706004,1565039708607,603,50.0,50.0,25.0,50.0,49.0,true,DWELL,0,0,0,2
1565039709602,001,1,4,Simple,275.0,228.50752,1565039709602,1565039712181,579,50.0,50.0,25.0,50.0,46.0,true,DWELL,0,0,0,1
1565039713177,001,1,5,Simple,225.0,262.81512,1565039713177,1565039716779,1602,50.0,50.0,25.0,50.0,38.0,true,DWELL,0,0,0,1
1565039717772,001,1,6,Simple,275.0,213.31322,1565039717772,1565039721573,1801,50.0,50.0,25.0,50.0,166.0,true,DWELL,2,1,1,2
1565039917778,001,2,1,Simple,200.0,299.57928,1565039917778,1565039921206,1428,50.0,100.0,75.0,100.0,100.0,true,DWELL,1,1,0,1
1565039922219,001,2,2,Simple,300.0,194.17583,1565039922219,1565039927895,3676,50.0,100.0,75.0,100.0,258.0,true,DWELL,3,2,1,2
1565039928912,001,2,3,Simple,200.0,284.88403,1565039928912,1565039932087,1175,50.0,100.0,75.0,100.0,85.0,true,DWELL,1,1,0,0
1565039933089,001,2,4,Simple,300.0,194.24942,1565039933089,1565039935565,476,50.0,100.0,75.0,100.0,116.0,true,DWELL,0,0,0,2
1565039936571,001,2,5,Simple,200.0,302.67044,1565039936571,1565039941663,3092,50.0,100.0,75.0,100.0,103.0,true,DWELL,2,2,0,0
1565039942655,001,2,6,Simple,300.0,208.93483,1565039942655,1565039945182,527,50.0,100.0,75.0,100.0,91.0,true,DWELL,0,0,0,2
